ano,tipo_localizacao,rede,modalidade,grupo,percentual
2016,rural,municipal,ensinofundamentalanosfinais,2,0.4
2016,total,federal,ensinofundamentalanosiniciais,4,5.2
2016,urbana,municipal,ensinofundamentalanosiniciais,4,3.9
2016,total,municipal,ensinofundamentalanosiniciais,4,3.5
2016,rural,estadual,ensinofundamentalanosiniciais,4,3.3000000000000003
2016,urbana,estadual,ensinofundamentalanosiniciais,4,4.2
2016,total,estadual,ensinofundamentalanosiniciais,4,4.2
2016,rural,federal,ensinofundamentalanosiniciais,4,0
2016,urbana,federal,ensinofundamentalanosiniciais,4,5.2
2016,rural,total,ensinofundamentalanosiniciais,4,2.1
2016,urbana,municipal,ensinofundamentalanosiniciais,3,12.4
2016,total,total,ensinofundamentalanosiniciais,4,3.6
2016,rural,pública,ensinofundamentalanosiniciais,3,10.700000000000001
2016,urbana,pública,ensinofundamentalanosiniciais,3,11.4
2016,total,pública,ensinofundamentalanosiniciais,3,11.3
2016,rural,privada,ensinofundamentalanosiniciais,3,7.8
2016,urbana,privada,ensinofundamentalanosiniciais,3,9.700000000000001
2016,total,privada,ensinofundamentalanosiniciais,3,9.700000000000001
2016,rural,municipal,ensinofundamentalanosiniciais,3,10.9
2016,urbana,total,ensinofundamentalanosiniciais,4,3.9
2016,total,privada,ensinofundamentalanosiniciais,4,3.6
2016,urbana,pública,ensinofundamentalanosiniciais,5,16.2
2016,rural,privada,ensinofundamentalanosiniciais,4,2.6
2016,total,municipal,ensinofundamentalanosiniciais,3,12.1
2016,rural,privada,ensinofundamentalanosiniciais,5,54.9
2016,urbana,privada,ensinofundamentalanosiniciais,5,38
2016,total,privada,ensinofundamentalanosiniciais,5,38.2
2016,rural,municipal,ensinofundamentalanosiniciais,5,44
2016,urbana,municipal,ensinofundamentalanosiniciais,5,17.400000000000002
2016,total,municipal,ensinofundamentalanosiniciais,5,23.400000000000002
2016,rural,estadual,ensinofundamentalanosiniciais,5,34.300000000000004
2016,urbana,estadual,ensinofundamentalanosiniciais,5,10.4
2016,total,estadual,ensinofundamentalanosiniciais,5,12.5
2016,rural,federal,ensinofundamentalanosiniciais,5,0
2016,urbana,federal,ensinofundamentalanosiniciais,5,8.700000000000001
2016,total,federal,ensinofundamentalanosiniciais,5,8.4
2016,rural,total,ensinofundamentalanosiniciais,5,43.4
2016,urbana,total,ensinofundamentalanosiniciais,5,22.1
2016,total,total,ensinofundamentalanosiniciais,5,25.5
2016,rural,pública,ensinofundamentalanosiniciais,4,2.1
2016,urbana,pública,ensinofundamentalanosiniciais,4,4
2016,total,pública,ensinofundamentalanosiniciais,4,3.6
2016,urbana,privada,ensinofundamentalanosiniciais,4,3.7
2016,rural,estadual,ensinofundamentalanosiniciais,3,8
2016,urbana,federal,ensinofundamentalanosiniciais,2,2.7
2016,total,estadual,ensinofundamentalanosiniciais,3,7.4
2016,total,total,ensinofundamentalanosiniciais,2,1
2016,rural,pública,ensinofundamentalanosiniciais,1,43.5
2016,urbana,pública,ensinofundamentalanosiniciais,1,67.4
2016,total,pública,ensinofundamentalanosiniciais,1,62.6
2016,rural,privada,ensinofundamentalanosiniciais,1,34
2016,urbana,privada,ensinofundamentalanosiniciais,1,47.4
2016,total,privada,ensinofundamentalanosiniciais,1,47.300000000000004
2016,rural,municipal,ensinofundamentalanosiniciais,1,42.7
2016,urbana,municipal,ensinofundamentalanosiniciais,1,65.4
2016,total,municipal,ensinofundamentalanosiniciais,1,60.2
2016,rural,estadual,ensinofundamentalanosiniciais,1,54.1
2016,urbana,estadual,ensinofundamentalanosiniciais,1,76.4
2016,total,estadual,ensinofundamentalanosiniciais,1,74.4
2016,rural,federal,ensinofundamentalanosiniciais,1,70.3
2016,urbana,federal,ensinofundamentalanosiniciais,1,76.60000000000001
2016,total,federal,ensinofundamentalanosiniciais,1,76.60000000000001
2016,rural,total,ensinofundamentalanosiniciais,1,43.4
2016,urbana,total,ensinofundamentalanosiniciais,1,61.9
2016,total,total,ensinofundamentalanosiniciais,1,59
2016,urbana,total,ensinofundamentalanosiniciais,2,1.1
2016,urbana,estadual,ensinofundamentalanosiniciais,3,7.4
2016,rural,total,ensinofundamentalanosiniciais,2,0.4
2016,total,pública,ensinofundamentalanosiniciais,5,21.6
2016,rural,federal,ensinofundamentalanosiniciais,3,29.7
2016,urbana,federal,ensinofundamentalanosiniciais,3,6.8
